library_id,citation,type,title_id,version_id,jurisdiction,source,url,when_scraped,last_successful_scrape,status,error,active,source_name,source_status,content_format,content_url
400000000,First Home Owner Grant Act 2000,primary_legislation,,reprint:REPF039,northern_territory,northern_territory_legislation,https://legislation.nt.gov.au/Legislation/FIRST-HOME-OWNER-GRANT-ACT-2000,2025-12-27T03:58:20.386734Z,2025-12-27T03:58:21.924033Z,ok,,,,,doc,https://legislation.nt.gov.au/api/sitecore/Act/Word?id=11819
400000001,Gaming Control Act 1993,primary_legislation,,reprint:REPG006,northern_territory,northern_territory_legislation,https://legislation.nt.gov.au/en/Legislation/GAMING-CONTROL-ACT-1993,2025-12-27T03:58:21.924858Z,2025-12-27T03:58:23.634121Z,ok,,,,,doc,https://legislation.nt.gov.au/api/sitecore/Act/Word?id=11827
400000002,Gaming Machine Act 1995,primary_legislation,,reprint:REPG008,northern_territory,northern_territory_legislation,https://legislation.nt.gov.au/en/Legislation/GAMING-MACHINE-ACT-1995,2025-12-27T03:58:23.634957Z,2025-12-27T03:58:25.654508Z,ok,,,,,doc,https://legislation.nt.gov.au/api/sitecore/Act/Word?id=11834
400000003,Interpretation Act 1978,primary_legislation,,reprint:REPI005,northern_territory,northern_territory_legislation,https://legislation.nt.gov.au/Legislation/INTERPRETATION-ACT-1978,2025-12-27T03:58:25.655255Z,2025-12-27T03:58:28.821950Z,ok,,,,,doc,https://legislation.nt.gov.au/api/sitecore/Act/Word?id=11865
400000004,Partnership Act 1997,primary_legislation,,reprint:REPP066,northern_territory,northern_territory_legislation,https://legislation.nt.gov.au/en/Legislation/PARTNERSHIP-ACT-1997,2025-12-27T03:58:28.822601Z,2025-12-27T03:58:30.364554Z,ok,,,,,doc,https://legislation.nt.gov.au/api/sitecore/Act/Word?id=12074
400000005,Payroll Tax Act 2009,primary_legislation,,reprint:REPP090,northern_territory,northern_territory_legislation,https://legislation.nt.gov.au/en/Legislation/PAYROLL-TAX-ACT-2009,2025-12-27T03:58:30.365292Z,2025-12-27T03:58:32.562245Z,ok,,,,,doc,https://legislation.nt.gov.au/api/sitecore/Act/Word?id=12078
400000006,Stamp Duty Act,primary_legislation,,reprint:REPS013,northern_territory,northern_territory_legislation,https://legislation.nt.gov.au/Legislation/STAMP-DUTY-ACT-1978,2025-12-27T03:58:32.562919Z,2025-12-27T03:58:36.244003Z,ok,,,,,doc,https://legislation.nt.gov.au/api/sitecore/Act/Word?id=11906
400000007,Taxation Administration Act 2007,primary_legislation,,reprint:REPT039,northern_territory,northern_territory_legislation,https://legislation.nt.gov.au/Legislation/TAXATION-ADMINISTRATION-ACT-2007,2025-12-27T03:58:36.244808Z,2025-12-27T03:58:37.993388Z,ok,,,,,doc,https://legislation.nt.gov.au/api/sitecore/Act/Word?id=12196
400000008,Trustee Act 1893,primary_legislation,,reprint:REPT013,northern_territory,northern_territory_legislation,https://legislation.nt.gov.au/en/Legislation/TRUSTEE-ACT-1893,2025-12-27T03:58:37.994127Z,2025-12-27T03:58:39.650008Z,ok,,,,,doc,https://legislation.nt.gov.au/api/sitecore/Act/Word?id=12238
